#Step KinEng PotEng TotEng E_pair E_bond E_angle Press Temp Lx Volume 
       0   0.48448444    14.291389    14.775873   -5.7257674    19.348227   0.66892959   -2.3724629   0.32303001           20         8000 
    1000   0.72015093    14.118706    14.838857   -5.5256136    19.408046   0.23627375 -0.082340382   0.48016064    19.974247     7969.136 
    2000   0.75457977    14.141542    14.896122   -5.5017514    19.433355   0.20993884  0.032946598   0.50311607    19.962203    7954.7289 
    3000   0.76861113    14.096076    14.864687   -5.5242577    19.423827   0.19650641 -0.026989756   0.51247148    19.936593     7924.153 
    4000   0.74699397    14.076836     14.82383    -5.542283    19.428315   0.19080408   0.10875911   0.49805824    19.922799    7907.7154 
    5000   0.74208681    14.076979    14.819066   -5.5434264    19.436454   0.18395232  0.086198323   0.49478639    19.918432    7902.5166 
    6000    0.7557483    14.074125    14.829873   -5.5356146    19.432361   0.17737886   0.10411162   0.50389519     19.91883    7902.9912 
    7000    0.7469907     14.05506    14.802051    -5.545653     19.42743   0.17328303 -0.075525924   0.49805606    19.913513    7896.6634 
    8000   0.73434228    14.050915    14.785257   -5.5472458    19.430253   0.16790785   0.15794658   0.48962272    19.912966    7896.0126 
    9000   0.75363075    14.052389     14.80602   -5.5437867    19.428265   0.16791135 -0.017057258   0.50248331    19.923269    7908.2758 
   10000   0.74543541    14.047049    14.792484   -5.5457115    19.432458   0.16030217   0.15520378   0.49701907    19.913668    7896.8476 
   11000   0.75499212    14.031723    14.786715   -5.5554447    19.427617   0.15955039  -0.12270974   0.50339101    19.914485    7897.8204 
   12000   0.75991596    14.039098    14.799014   -5.5450108    19.429716   0.15439238  0.033309377   0.50667397    19.917004    7900.8176 
   13000   0.76203079    14.039848    14.801878   -5.5464788    19.432356   0.15397016 -0.012998884   0.50808404    19.919498    7903.7862 
   14000    0.7479379    14.033051    14.780989     -5.55479    19.436034   0.15180747  0.010427022    0.4986876    19.908377     7890.555 
   15000   0.75330298    14.023303    14.776606   -5.5560396    19.431793   0.14754925  0.092124873   0.50226477    19.899552    7880.0662 
   16000   0.76447861    14.034642    14.799121   -5.5471212    19.435774   0.14598991  0.040725467   0.50971612    19.905788    7887.4772 
   17000   0.75379861    14.021602    14.775401   -5.5557677    19.430845   0.14652517  -0.12503408   0.50259523    19.916854    7900.6394 
   18000   0.75336122    14.021916    14.775277   -5.5489719    19.426225   0.14466218  0.034221284    0.5023036    19.909938    7892.4116 
   19000   0.75066465    14.004823    14.755488   -5.5626786    19.426347    0.1411553 -0.032649997   0.50050566    19.900277    7880.9286 
   20000   0.74823009     14.00443     14.75266   -5.5633955    19.430407   0.13741818   0.12754758   0.49888242    19.893025    7872.3159 
   21000   0.75505722    14.011771    14.766828   -5.5531831    19.426335    0.1386194 -0.043119694   0.50343441    19.902204     7883.218 
   22000   0.75570677    14.011258    14.766965   -5.5539421    19.427735   0.13746523  -0.20719975    0.5038675    19.916108    7899.7516 
   23000   0.74906221    14.001077    14.750139    -5.565892    19.427138   0.13983149 -0.084327104   0.49943724    19.908201    7890.3466 
   24000    0.7382291    14.022112    14.760341    -5.544302    19.429767   0.13664684 -0.097695752   0.49221426    19.917993    7901.9946 
   25000   0.74962532    14.021866    14.771492   -5.5437497    19.429961   0.13565503  0.089975825   0.49981269     19.91467    7898.0398 
   26000   0.74678905    14.007165    14.753954   -5.5544158    19.426112   0.13546816  0.026033033   0.49792161    19.904036     7885.395 
   27000    0.7538497    14.002035    14.755885   -5.5593106    19.427951    0.1333955   0.21335045    0.5026293    19.887645    7865.9306 
   28000   0.76119448     14.01179    14.772985   -5.5566374    19.433246   0.13518191  0.018860737   0.50752643    19.902606    7883.6956 
   29000   0.74788581    14.000163    14.748049   -5.5636259    19.430862   0.13292767  0.038206116   0.49865287     19.89603    7875.8838 
   30000   0.74741887     13.99651    14.743929   -5.5706134    19.431884   0.13523989  -0.16483255   0.49834154    19.906618    7888.4643 
   31000   0.75244433    14.012034    14.764479   -5.5558029    19.433933   0.13390408  0.025861115   0.50169226    19.902359    7883.4024 
   32000   0.75483219    13.992866    14.747698   -5.5722021    19.432082   0.13298619  0.042198538   0.50328437     19.88732    7865.5442 
   33000   0.74016584    13.999657    14.739823   -5.5670954    19.435381   0.13137173 -0.0014189824   0.49350558    19.893345    7872.6953 
   34000   0.74867908    14.009849    14.758528   -5.5586057    19.435542     0.132913  -0.01421024   0.49918179     19.90803    7890.1421 
   35000   0.75453222    13.987015    14.741547   -5.5716295    19.426889   0.13175567  -0.16018852   0.50308437    19.905373    7886.9839 
   36000   0.74478334    13.990659    14.735442    -5.574991    19.432765   0.13288495  0.085882852    0.4965843    19.886386    7864.4359 
   37000   0.75305455    14.003333    14.756387   -5.5575012    19.430917   0.12991686  0.092146535   0.50209913    19.895965    7875.8068 
   38000   0.74901947    13.990936    14.739955   -5.5721478    19.431813   0.13127057 -0.036973083   0.49940874     19.89819    7878.4484 
   39000   0.74993671    13.985915    14.735852   -5.5706941    19.426737   0.12987262 -0.019407873   0.50002031    19.899421    7879.9114 
   40000   0.75241319    14.000385    14.752799   -5.5633703    19.434625   0.12913085   0.11785131    0.5016715    19.899873    7880.4483 
   41000   0.74596225     13.98401    14.729973   -5.5725016    19.426901    0.1296112  -0.10872773   0.49737034    19.893172    7872.4902 
   42000   0.75256833    13.980662    14.733231   -5.5754506    19.425362   0.13075115   0.06507789   0.50177494    19.892571    7871.7761 
   43000   0.74792408    13.998692    14.746616   -5.5661104     19.43607   0.12873185 -0.033167431   0.49867839    19.901425    7882.2917 
   44000   0.74417224    13.992815    14.736987   -5.5657017    19.428129   0.13038745 -0.040248066   0.49617685    19.906373    7888.1724 
   45000   0.74625705     13.99194    14.738197   -5.5687085    19.430517   0.13013216 -0.030560885    0.4975669    19.898653    7878.9983 
   46000   0.75220754    13.987374    14.739581   -5.5689183    19.427516    0.1287759 -0.018809374   0.50153439    19.891896     7870.975 
   47000   0.75811883    14.000251     14.75837   -5.5601545     19.43048   0.12992619 -0.0072256851   0.50547574    19.903197     7884.398 
   48000   0.74282341    13.990004    14.732828   -5.5717469    19.430431   0.13131981  -0.14349602   0.49527752    19.896771    7876.7635 
   49000   0.75364529    13.984894     14.73854   -5.5745315     19.43044   0.12898603  0.034436052     0.502493    19.889587    7868.2342 
   50000   0.74648051    13.995167    14.741648    -5.567759    19.432156    0.1307704  0.032063305   0.49771589     19.89457    7874.1495 
   51000    0.7477429    13.975694    14.723437   -5.5782265    19.424398   0.12952261   0.05604983   0.49855759    19.882533    7859.8657 
   52000   0.74208722    13.995692    14.737779   -5.5740326    19.439131   0.13059347 -0.005920241   0.49478666    19.891317    7870.2872 
   53000   0.75200782    13.988529    14.740537   -5.5631295    19.423075   0.12858327  -0.19717952   0.50140122    19.909429    7891.8059 
   54000   0.74402677    13.983225    14.727252   -5.5784948    19.431525   0.13019544  -0.12306664   0.49607986     19.89843    7878.7337 
   55000   0.74560165    13.955723    14.701325   -5.5970994    19.426668   0.12615389  0.037071683   0.49712991     19.87157    7846.8711 
   56000   0.74682326    13.976166    14.722989   -5.5768435    19.424036   0.12897378 -0.055121382   0.49794442    19.878891     7855.547 
   57000   0.75717033     13.98586    14.743031   -5.5720359    19.431616   0.12628006   0.22050629   0.50484333    19.885204    7863.0342 
   58000   0.74717997    13.996739    14.743919   -5.5616626    19.432117   0.12628477   0.10232585   0.49818226    19.900335    7880.9968 
   59000   0.74706653    13.973136    14.720202   -5.5797041    19.426141   0.12669834 -0.035145985   0.49810662    19.891847    7870.9168 
   60000   0.74514777    13.994141    14.739289   -5.5630168    19.430156   0.12700161 -0.020068862   0.49682728    19.904756    7886.2502 
   61000   0.75541271    13.985015    14.740428   -5.5626305    19.422019   0.12562669 -0.089973333   0.50367143    19.902391    7883.4397 
   62000   0.74298998    13.975618    14.718608   -5.5750497    19.422758   0.12791007  -0.13223013   0.49538857    19.892909    7872.1782 
   63000   0.75246866    13.979821    14.732289   -5.5741272     19.42616   0.12778736  0.058598772   0.50170849    19.892513    7871.7073 
   64000   0.76194603    13.978133    14.740079   -5.5775544    19.429437   0.12625097  -0.10744459   0.50802752    19.895733    7875.5313 
   65000   0.75169157    13.971444    14.723136   -5.5826915    19.427724   0.12641151   0.11333709   0.50119036    19.880075    7856.9511 
   66000   0.75925319    13.982426    14.741679   -5.5740832    19.431733   0.12477601  0.049853899   0.50623207    19.885198    7863.0267 
   67000   0.75651108    13.986838    14.743349   -5.5635258    19.425637   0.12472653 -0.052700358   0.50440377    19.893383    7872.7404 
   68000   0.75153903    13.964832    14.716371   -5.5861974    19.424181   0.12684775  0.041499047   0.50108866    19.882369    7859.6714 
   69000   0.74659657    13.973771    14.720368   -5.5872929     19.43543   0.12563383 0.0075989878   0.49779327    19.885271    7863.1139 
   70000   0.75324089      13.9789    14.732141   -5.5761732    19.429753   0.12532058 -0.086607316   0.50222337    19.900076    7880.6891 
   71000   0.76031993    13.990238    14.750558   -5.5633982    19.429481   0.12415528  -0.10837087   0.50694332    19.906161    7887.9201 
   72000    0.7424447    13.979754    14.722199   -5.5748563    19.429995   0.12461601 -0.076211009   0.49502501    19.895744    7875.5441 
   73000   0.75917722    13.968527    14.727704    -5.581757    19.425165   0.12511824  0.068679918   0.50618142    19.891532    7870.5428 
   74000   0.76451331    13.979334    14.743848   -5.5751553    19.430655   0.12383487  0.021754147   0.50973926    19.887916    7866.2515 
   75000   0.75194935    13.971194    14.723144   -5.5855278    19.432297   0.12442485   0.29417462   0.50136224    19.867339    7841.8607 
   76000   0.74806625    13.965317    14.713383   -5.5875551    19.425925   0.12694704  0.055108572   0.49877318    19.876921     7853.212 
   77000   0.75467378    13.980305    14.734979    -5.575921    19.430831   0.12539477  -0.10207247   0.50317875    19.896823    7876.8255 
   78000   0.75987092     13.97403    14.733901   -5.5786125    19.426006   0.12663617  0.012817086   0.50664394    19.889354    7867.9579 
   79000   0.74599697        13.98    14.725997   -5.5771418    19.431157   0.12598396  0.024133883   0.49739348    19.889743    7868.4199 
   80000   0.74021399     13.96676    14.706974   -5.5894117    19.431421   0.12475061 -0.071878905   0.49353769     19.88683    7864.9624 
   81000   0.75284187    13.975437    14.728279   -5.5812572    19.433897   0.12279765  0.062566126   0.50195733     19.88072    7857.7164 
   82000   0.74939105    13.982183    14.731574   -5.5759914    19.432038   0.12613563  -0.12054536   0.49965649    19.899542    7880.0551 
   83000   0.73489549    13.973423    14.708319   -5.5798721    19.429244   0.12405124 -0.063122824   0.48999158    19.889691    7868.3575 
   84000   0.75363691    13.965905    14.719542   -5.5823872    19.424037   0.12425508 -0.0064576334   0.50248742    19.878555     7855.149 
   85000   0.75437566    13.973432    14.727808   -5.5802306    19.428984     0.124679   0.19718465   0.50297998    19.876782    7853.0474 
   86000   0.75269107    13.972362    14.725053   -5.5796517    19.429004   0.12300962 -0.0074829971   0.50185678    19.883102    7860.5411 
   87000   0.74300097    13.966231    14.709232   -5.5845221    19.426078   0.12467552  -0.23096495    0.4953959    19.889439    7868.0584 
   88000   0.74414412    13.989176     14.73332   -5.5692633    19.433241    0.1251983 -0.031792755    0.4961581    19.901276    7882.1147 
   89000   0.75686428    13.969473    14.726338   -5.5806389     19.42818   0.12193184  0.049792681   0.50463927    19.882786    7860.1655 
   90000   0.75509469    13.958667    14.713761   -5.5880052    19.422714   0.12395824 -0.029099056    0.5034594    19.877181     7853.521 
   91000   0.75986039    13.976223    14.736083   -5.5706371    19.425614   0.12124562  -0.13731152   0.50663693     19.88833    7866.7422 
   92000    0.7499897    13.988477    14.738467   -5.5632867    19.427641   0.12412307 -0.050543246   0.50005564    19.901921    7882.8819 
   93000   0.74350884    13.974325    14.717834   -5.5737557    19.425925   0.12215644   0.15270539   0.49573452     19.89177    7870.8256 
   94000   0.75497246     13.98292    14.737893    -5.575655    19.435881   0.12269454  0.056797594   0.50337789    19.880643    7857.6241 
   95000   0.74743108     13.99187    14.739301   -5.5683224    19.437506   0.12268673   0.11788546   0.49834968    19.895551    7875.3144 
   96000   0.73495354    13.987074    14.722028   -5.5638601    19.427597   0.12333792  0.075066272   0.49003028    19.891849    7870.9197 
   97000   0.75432929    13.971116    14.725446   -5.5813366    19.429127   0.12332591 -0.086397091   0.50294906    19.883306    7860.7832 
   98000   0.76005772    13.986199    14.746257   -5.5759853    19.437049   0.12513587   0.10767264   0.50676849     19.88568    7863.5982 
   99000   0.75662693    13.966681    14.723308   -5.5875476    19.429326   0.12490326  0.052910943   0.50448101    19.873999    7849.7495 
  100000   0.74901034    13.972618    14.721628   -5.5847268    19.432884   0.12446036   0.14414138   0.49940265    19.879982    7856.8408 
