#Step KinEng PotEng TotEng E_pair c_erodrod E_bond E_angle Press Temp Lx Volume 
       0    1.3714996    13.952593    15.324092   -4.6543429   -4.2901859    18.584742  0.022194029  0.057432121   0.91444736    20.717705    8892.5214 
    1000    1.2071828    13.733825    14.941008   -4.8281722   -4.4610217    18.540828  0.021169844 0.0085338045   0.80488912    20.558752    8689.4086 
    2000    1.0680253    13.481218    14.549243   -5.0332548   -4.6501299    18.496876  0.017596808  0.027217513   0.71210589    20.370926    8453.4179 
    3000   0.96998592    13.282139    14.252125   -5.1989262   -4.8044767    18.464255  0.016810218 -0.070819005   0.64673812    20.238735    8289.9155 
    4000    0.9122604    13.153685    14.065945   -5.3063819   -4.9105349    18.445922  0.014144497 -0.031828008   0.60824963    20.152056    8183.8577 
    5000   0.88301182    13.115206    13.998217   -5.3440992   -4.9410385    18.444133  0.015172133 0.0059934577   0.58874814      20.1113    8134.3043 
    6000   0.90429298    13.130132    14.034425   -5.3414159   -4.9377255    18.454715  0.016833059  -0.07834658   0.60293735    20.121909    8147.1845 
    7000   0.91907723    13.129375    14.048452   -5.3305815   -4.9294688    18.444198  0.015758617 -0.096244414   0.61279475    20.125379    8151.3998 
    8000   0.89714882    13.110323    14.007472   -5.3570588   -4.9527596    18.451399  0.015982141   0.13912767   0.59817399    20.098814    8119.1641 
    9000   0.90833026    13.094563    14.002894   -5.3680386   -4.9643118     18.44804  0.014562283  0.062150943   0.60562921    20.088474     8106.639 
   10000   0.89912811    13.104746    14.003874   -5.3629132   -4.9605201    18.452314  0.015345399 -0.031308825   0.59949368    20.093951    8113.2716 
   11000    0.9080506    13.080346    13.988396   -5.3800993   -4.9749412     18.44611   0.01433466  0.036857873   0.60544275     20.08961     8108.014 
   12000   0.89362005    13.098144    13.991764   -5.3701449   -4.9679116    18.451113  0.017175156  0.022782249   0.59582118    20.095182    8114.7632 
   13000   0.90469101    13.096946    14.001637      -5.3712   -4.9653518    18.452946  0.015200667  -0.16468981   0.60320274    20.095546    8115.2035 
   14000   0.89314835    13.089604    13.982753   -5.3706974   -4.9649352    18.446172  0.014129694 0.0045314867   0.59550667    20.101952    8122.9667 
   15000   0.90004056    13.107821    14.007862   -5.3613712   -4.9522091    18.452314  0.016878212 -0.082912944   0.60010205    20.108229    8130.5793 
   16000   0.90516771    13.103997    14.009165    -5.364827   -4.9585111    18.452034  0.016790346  -0.18255001   0.60352058    20.107406    8129.5802 
   17000   0.88917029    13.095815    13.984985   -5.3665428   -4.9581662    18.446569  0.015788626  0.052950277    0.5928543    20.107412     8129.588 
   18000   0.90414692    13.102996    14.007143   -5.3671602   -4.9608371    18.454813  0.015343901  0.021960606   0.60283997    20.096428    8116.2727 
   19000   0.90585881    13.098968    14.004827   -5.3671131   -4.9625004     18.44982  0.016260918  0.074393792   0.60398137    20.093927    8113.2424 
   20000   0.90010847    13.077371     13.97748   -5.3813173   -4.9760923    18.443509  0.015179322 -0.087623105   0.60014733    20.088159    8106.2583 
   21000   0.89847359    13.091692    13.990166   -5.3759178   -4.9688904    18.453402  0.014208236  0.001131322   0.59905727    20.090823    8109.4831 
   22000   0.90450481    13.088843    13.993348   -5.3733712   -4.9663466    18.446833  0.015381559 -0.025491052   0.60307859    20.096737     8116.647 
   23000   0.89679155     13.09861    13.995401   -5.3666133   -4.9623021    18.450203  0.015019783  -0.10517719   0.59793577    20.103925    8125.3597 
   24000   0.89022079    13.115465    14.005686   -5.3538428   -4.9504108    18.454703  0.014605352  0.023644358   0.59355472    20.101461     8122.372 
   25000   0.90880075    13.090158    13.998959   -5.3671456   -4.9667701     18.44325  0.014053283 -0.098820078   0.60594291    20.107858    8130.1293 
   26000   0.90484865    13.092639    13.997488   -5.3747868   -4.9690026    18.452046  0.015380066  -0.17223077   0.60330784    20.097266    8117.2881 
   27000   0.89680822    13.090009    13.986818   -5.3729741   -4.9642779    18.448696  0.014287092 0.0066597562   0.59794689    20.089155     8107.464 
   28000   0.89446233    13.089067    13.983529   -5.3747791   -4.9694834    18.448471  0.015374869 -0.070348926   0.59638277    20.093975    8113.3007 
   29000   0.89537162    13.093608    13.988979   -5.3705886   -4.9638367    18.448289  0.015907468 -0.061854799   0.59698903    20.099282     8119.731 
   30000   0.90729492    13.093156    14.000451    -5.367542   -4.9627812    18.446144  0.014553737  -0.15373339    0.6049389    20.104635    8126.2199 
   31000   0.90457319    13.089547     13.99412   -5.3770259   -4.9722161    18.450751  0.015822596  -0.10726964   0.60312418    20.094471    8113.9017 
   32000   0.90353099    13.078742    13.982273   -5.3841014   -4.9784775    18.447685  0.015158369   0.10031411    0.6024293    20.087937    8105.9888 
   33000   0.89426864    13.100474    13.994743   -5.3658568   -4.9580948    18.452291  0.014039755 -0.020383059   0.59625363    20.094392    8113.8061 
   34000   0.90420713    13.120906    14.025113   -5.3523154   -4.9496092    18.456705  0.016516406  -0.13054203   0.60288012    20.110788    8133.6829 
   35000   0.90871809    13.097424    14.006142   -5.3680915   -4.9628989    18.450921  0.014594197 -0.077869419    0.6058878    20.100439    8121.1336 
   36000   0.88940523    13.082521    13.971926   -5.3813454   -4.9736058    18.448651   0.01521525 -0.065895515   0.59301095    20.101999    8123.0235 
   37000   0.89726247    13.095475    13.992738   -5.3714805   -4.9674092    18.452103  0.014853211 -0.047280767   0.59824976     20.10857    8130.9926 
   38000   0.90309718    13.097992    14.001089   -5.3650135    -4.958159    18.447196  0.015809055  -0.13840855   0.60214005    20.117016    8141.2422 
   39000   0.88874182    13.091191    13.979933   -5.3772203   -4.9719735    18.451299  0.017112092  -0.10904086   0.59256862    20.106983    8129.0673 
   40000   0.88273049    13.092058    13.974788    -5.373232   -4.9688328    18.451368  0.013922304 -0.076389175   0.58856057    20.096457    8116.3074 
   41000   0.90138008    13.093305    13.994686   -5.3704154   -4.9672156    18.447847  0.015873982  0.084313056   0.60099518    20.094679    8114.1537 
   42000   0.90007864    13.069948    13.970026   -5.3891806   -4.9807886    18.444484  0.014644184  -0.17021789   0.60012745    20.092514     8111.531 
   43000   0.89437536    13.078359    13.972734   -5.3879721   -4.9795988    18.449902  0.016428808   -0.0354031   0.59632478    20.082754    8099.7163 
   44000    0.9013678    13.085764    13.987132   -5.3775169   -4.9697964    18.448889  0.014392157 -0.038401856   0.60098699    20.090548    8109.1498 
   45000   0.88750511    13.087043    13.974548   -5.3751672   -4.9680211    18.447757  0.014453352 0.0027445893   0.59174404    20.088525    8106.7007 
   46000   0.89047928     13.10218     13.99266   -5.3603838   -4.9551285    18.449053  0.013510899  -0.14384567   0.59372707    20.104068    8125.5326 
   47000   0.89371246    13.111827    14.005539   -5.3606117   -4.9562896    18.456446   0.01599251 -0.055245611   0.59588279    20.113797    8137.3344 
   48000   0.90255705    13.092468    13.995025    -5.368306   -4.9623435     18.44644  0.014333798 -0.030903859   0.60177992    20.096829    8116.7588 
   49000   0.89502182     13.08429    13.979312   -5.3806288   -4.9751002    18.449495  0.015423829  0.059081823   0.59675581    20.091939    8110.8346 
