#Step KinEng PotEng TotEng E_pair c_erodrod E_bond E_angle Press Temp Lx Volume 
       0    1.6572425    14.504215    16.161457   -4.2104615   -3.8129109    18.677843  0.036832949   0.17188869    1.1049665    21.149546    9460.2623 
    1000    1.4784511    14.292147    15.770598   -4.3649229   -3.9521018    18.620646  0.036423805 -0.0057157383   0.98575731     20.99898     9259.651 
    2000    1.3327994    14.047848    15.380648    -4.561766   -4.1280127    18.573363  0.036250905 -0.099893198   0.88864403    20.804314    9004.5127 
    3000    1.2450074    13.851227    15.096235   -4.7363969   -4.2880222    18.551783  0.035841409 -0.017867171   0.83010867    20.632567    8783.3417 
    4000    1.1800617    13.731276    14.911338   -4.8460406   -4.3828364    18.544002   0.03331462  0.026700124   0.78680615    20.521429    8642.1697 
    5000    1.1890003    13.687679    14.876679   -4.8794842   -4.4166869    18.533347   0.03381595   0.04738181   0.79276599    20.496007    8610.0916 
    6000     1.215014    13.737032    14.952046   -4.8439949   -4.3843691    18.547456  0.033570749  0.029638849    0.8101106    20.534675    8658.9154 
    7000    1.1975397    13.754895    14.952435   -4.8173658   -4.3612861    18.536208   0.03605254  0.028049514   0.79845958    20.553107    8682.2534 
    8000    1.1896604    13.720911    14.910572   -4.8535704   -4.3868644    18.537861  0.036621023   -0.1081159   0.79320611    20.530161    8653.2062 
    9000    1.1945849    13.732083    14.926668   -4.8516228   -4.3947597    18.547167  0.036538776   0.16342493   0.79648949    20.524508    8646.0605 
   10000    1.2008023     13.75504    14.955842   -4.8343433   -4.3746136    18.553361  0.036022057  0.024818729   0.80063497    20.538803    8664.1388 
   11000    1.1962807    13.744679     14.94096   -4.8306504   -4.3722618    18.539808  0.035521994   0.10175747   0.79762017     20.53895    8664.3241 
   12000    1.2045185    13.715449    14.919967   -4.8487312   -4.3896786    18.530451  0.033728723   0.10987985   0.80311271     20.52361    8644.9261 
   13000    1.1951633    13.732909    14.928073   -4.8489134    -4.387445    18.549008  0.032814796 -0.055036055   0.79687516    20.516065    8635.3947 
   14000    1.1994407    13.733933    14.933373   -4.8338081   -4.3758645    18.532305  0.035435784   0.03975847   0.79972709    20.538365    8663.5842 
   15000    1.2006814    13.736003    14.936684   -4.8394818   -4.3823269    18.543156  0.032328625 -0.056097592   0.80055435    20.545489    8672.6029 
   16000    1.1743321    13.746316    14.920648   -4.8364199   -4.3788661    18.548629   0.03410748 -0.0082829786   0.78298596    20.551217    8679.8584 
   17000    1.2200926    13.725386    14.945479   -4.8570576   -4.3937001     18.54845  0.033994503  -0.11738147   0.81349676    20.521713    8642.5287 
   18000    1.1895708    13.746288    14.935859   -4.8292542   -4.3722252    18.542239  0.033302646  0.017862323   0.79314637    20.545143    8672.1644 
   19000    1.2070427    13.735223    14.942266   -4.8405681   -4.3774549    18.542196  0.033594661  -0.11154806   0.80479572     20.54645    8673.8198 
   20000    1.1906863    13.723304    14.913991   -4.8443701   -4.3779744    18.534837  0.032837466  -0.20552497   0.79389012     20.54059    8666.4008 
   21000    1.1919697    13.720854    14.912824   -4.8506679   -4.3898739    18.539269  0.032252833 -0.034330532   0.79474581    20.532447    8656.0971 
   22000    1.1994324    13.764931    14.964364   -4.8278257   -4.3687116    18.558967  0.033790214 -0.013409095   0.79972154    20.548092     8675.899 
   23000    1.2144545     13.73826    14.952715   -4.8290381    -4.369448    18.534302  0.032996153  0.029450829   0.80973753     20.54374    8670.3881 
   24000    1.1977291    13.708522    14.906251   -4.8625854   -4.4038642     18.53883  0.032277193  0.081379861   0.79858591    20.505338    8621.8569 
   25000    1.1953061    13.722943    14.918249   -4.8581234   -4.3951778    18.547417   0.03364896  0.015333561   0.79697033    20.500938    8616.3071 
   26000    1.1976018    13.739134    14.936736   -4.8317638   -4.3711318    18.538698   0.03219976   0.18637848   0.79850103     20.54642    8673.7817 
   27000    1.2102292    13.733307    14.943536   -4.8348178   -4.3768307     18.53356  0.034565212 -0.034961242   0.80692033    20.550313    8678.7126 
   28000    1.1749924    13.741527     14.91652   -4.8350894   -4.3740719     18.54457  0.032046862 -0.012392356   0.78342619    20.526354    8648.3941 
   29000    1.1938956    13.730612    14.924508   -4.8379214   -4.3796565    18.535924   0.03261005  0.032631973   0.79602992    20.535018    8659.3494 
   30000    1.2149224    13.733555    14.948477   -4.8562901   -4.3993035    18.557036   0.03280848  0.048697462   0.81004952    20.526068    8648.0314 
   31000    1.1942958    13.727168    14.921464   -4.8494628    -4.389445    18.544784  0.031847127  -0.12121636   0.79629673    20.523361    8644.6109 
   32000    1.1968748    13.718114    14.914989   -4.8509107    -4.391852    18.538135  0.030890254 -0.052213543    0.7980163    20.520359    8640.8187 
   33000    1.2003408    13.729117    14.929458   -4.8434284   -4.3803697    18.539507  0.033038535  0.086296888   0.80032726    20.522129    8643.0548 
   34000     1.205755    13.741031    14.946786   -4.8339037    -4.375295    18.542873  0.032061925  -0.13763431   0.80393715    20.553917    8683.2794 
   35000     1.210243    13.741071    14.951314   -4.8325978   -4.3726737    18.541299  0.032369395  -0.23466135   0.80692953    20.545372    8672.4544 
   36000    1.2220416    13.700061    14.922103   -4.8618639   -4.4002168    18.530132  0.031792874 -0.045329792   0.81479628    20.509179    8626.7024 
   37000    1.1917351    13.709471    14.901206   -4.8661359   -4.4067784    18.543624  0.031983207 -0.088308582   0.79458938    20.524644    8646.2325 
   38000    1.1907152    13.723052    14.913767   -4.8533187   -4.3904275    18.543018  0.033352311  0.013478878   0.79390936    20.524417    8645.9456 
   39000    1.2110269    13.732356    14.943383   -4.8467664   -4.3836233    18.545852  0.033270931 -0.044002447   0.80745218    20.531654    8655.0948 
   40000    1.2181416    13.730721    14.948863    -4.837178   -4.3814573    18.533349   0.03454949 -0.018723311   0.81219594    20.534048    8658.1218 
   41000     1.188693    13.718953    14.907646   -4.8541766   -4.3903591     18.54031  0.032819641 -0.032447194   0.79256107    20.524696    8646.2983 
   42000    1.1942256     13.73216    14.926386   -4.8437377   -4.3776607    18.544117  0.031781182  0.020129881   0.79624995    20.526808    8648.9678 
   43000    1.2071642     13.75772    14.964884    -4.826056   -4.3671382    18.550305  0.033470142  0.052435421   0.80487673    20.538212    8663.3901 
   44000    1.1925239     13.73203    14.924554   -4.8391551   -4.3779161    18.538001   0.03318427  0.037379908    0.7951153    20.533686    8657.6644 
   45000    1.1899633    13.732433    14.922397   -4.8374918   -4.3799507    18.536445  0.033480501  -0.18719168   0.79340806    20.545208     8672.247 
   46000    1.1975402    13.744969    14.942509   -4.8256061    -4.375376    18.538713    0.0318627  -0.32219205   0.79845991    20.561228    8692.5487 
   47000    1.2100633    13.757742    14.967806    -4.816055   -4.3600835    18.543637  0.030160649  0.042754984    0.8068097    20.551775    8680.5654 
   48000    1.1933126    13.743902    14.937214   -4.8312308   -4.3734344    18.541834  0.033298216   0.12644511    0.7956412    20.522394     8643.389 
   49000    1.1941715    13.728277    14.922449   -4.8386551   -4.3832823    18.536599    0.0303337 -0.0033454361   0.79621388    20.549615    8677.8291 
   50000    1.2097829    13.737581    14.947363   -4.8325807   -4.3716863    18.539708  0.030453598 -0.052565256   0.80662276    20.552452    8681.4233 
   51000    1.2051056    13.745861    14.950967   -4.8378566   -4.3794758    18.551243  0.032475114  0.057003701   0.80350418    20.522847    8643.9615 
   52000    1.2078602    13.720794    14.928655   -4.8578635   -4.3918157    18.546215  0.032443057  0.050045529    0.8053408    20.514515    8633.4382 
   53000    1.2053277    13.729466    14.934793   -4.8401105   -4.3793134    18.540706  0.028870584  0.013682809   0.80365226    20.530794    8654.0067 
   54000    1.1931747    13.743425    14.936599   -4.8322124   -4.3697318    18.545373  0.030263747  -0.10013856   0.79554923    20.568103    8701.2711 
   55000    1.1728097    13.718464    14.891274   -4.8588025   -4.3983459    18.546845  0.030421594    0.2440348   0.78197086    20.512418     8630.791 
   56000    1.2082035    13.708969    14.917173   -4.8652527   -4.4035643     18.54184  0.032381662 -0.019119498   0.80556967    20.516156    8635.5094 
   57000    1.2100008    13.730738    14.940738    -4.846272   -4.3896449    18.544723  0.032286429   0.16371944   0.80676803    20.520584    8641.1023 
   58000    1.2001957    13.729438    14.929634   -4.8451186   -4.3890389    18.541035  0.033521975 -0.059576979   0.80023049    20.528835    8651.5304 
