#Step KinEng PotEng TotEng E_pair c_erodrod E_bond E_angle Press Temp Lx Volume 
       0    1.6712625     14.44092    16.112183   -4.2572486   -3.9253925    18.669921  0.028247555  -0.12707241    1.1143143    21.117624    9417.4904 
    1000    1.4890863    14.220102    15.709188   -4.4205273   -4.0787182    18.613252   0.02737743  0.091878395   0.99284831      20.9643    9213.8489 
    2000    1.3427831    13.973202    15.315985    -4.629025   -4.2757564    18.579523   0.02270393   -0.2824115   0.89530068    20.762754    8950.6562 
    3000    1.2368114    13.787447    15.024258   -4.7858504   -4.4248146    18.553329  0.019968479  -0.13504535   0.82464402    20.595913    8736.6142 
    4000    1.1893209    13.665406    14.854727   -4.8883925   -4.5222636    18.533305  0.020493468 -0.067199011   0.79297975    20.505938    8622.6131 
    5000    1.1905244    13.648869    14.839393   -4.9000295   -4.5308649    18.527924  0.020974458  -0.11346674   0.79378218    20.495733    8609.7471 
    6000    1.2177835    13.679018    14.896801   -4.8777058    -4.507122    18.535846  0.020877728  0.013757274   0.81195714     20.51054    8628.4196 
    7000    1.2008871    13.685235    14.886122   -4.8795397   -4.5161565    18.544084  0.020689936   0.11802909   0.80069146     20.49021    8602.7877 
    8000    1.1884513    13.648945    14.837397   -4.9115112   -4.5424876    18.538001  0.022455175    0.2525236   0.79239988    20.465758    8572.0262 
    9000    1.2044125    13.630565    14.834977   -4.9245822   -4.5559647    18.533171  0.021976342 -0.034598664   0.80304204    20.466278    8572.6799 
   10000    1.1997203    13.675763    14.875483   -4.8869968   -4.5150661    18.541099  0.021660197  -0.04777581   0.79991352    20.500478    8615.7271 
   11000    1.2048674    13.678972    14.883839   -4.8751874   -4.5022873    18.534418  0.019741406  -0.17223864   0.80334537    20.517859    8637.6608 
   12000    1.1911941     13.67061    14.861804    -4.893961   -4.5220978    18.545814  0.018757468 -0.024682277   0.79422868    20.491983     8605.021 
   13000    1.2007365    13.652781    14.853518   -4.9086104   -4.5384818    18.542052  0.019340111 -0.065778189   0.80059106    20.491546    8604.4709 
   14000    1.2086002    13.663678    14.872278    -4.890872   -4.5245293    18.532976  0.021573901  -0.20656351   0.80583419    20.505071    8621.5194 
   15000    1.2022257    13.678336    14.880562   -4.8795475   -4.5120302    18.538927  0.018956794 -0.060753249   0.80158402     20.50065    8615.9446 
   16000    1.2064494    13.648599    14.855048    -4.905271    -4.537518      18.5334  0.020470031  0.076368434   0.80440018    20.474011    8582.4009 
   17000    1.2151716    13.639748     14.85492   -4.9106894   -4.5440592    18.529527  0.020910107  0.052928782   0.81021568    20.475604    8584.4047 
   18000     1.206477    13.668602    14.875079   -4.8923845     -4.52779    18.541495  0.019491557 -0.002709387   0.80441858     20.50026    8615.4522 
   19000    1.1891296    13.659029    14.848159   -4.9022798   -4.5339221    18.539685  0.021624456  -0.26513607   0.79285215    20.509329    8626.8921 
   20000    1.1974046    13.649608    14.847013   -4.9103217   -4.5401129    18.538147  0.021782624  0.069398978   0.79836953    20.484808    8595.9862 
   21000    1.1970273    13.675233    14.872261   -4.8873674   -4.5210436    18.541139   0.02146186  0.037318402   0.79811793    20.494673    8608.4105 
   22000    1.2197837    13.672902    14.892685    -4.889886   -4.5204243    18.543049  0.019738838  0.062463241   0.81329081    20.479715    8589.5762 
   23000     1.194707    13.675155    14.869862   -4.8964839   -4.5290246    18.550621  0.021017746 -0.066189419   0.79657091    20.484996    8596.2221 
   24000    1.1608368    13.674931    14.835768   -4.8815066   -4.5122221    18.536215  0.020222935   -0.1478953   0.77398795    20.512683    8631.1256 
   25000    1.2201747    13.666551    14.886725   -4.8952072   -4.5305647    18.542866  0.018892146   0.06196243   0.81355147    20.495985    8610.0642 
   26000    1.2076572    13.667644    14.875302   -4.8929549   -4.5276924    18.540539  0.020059972 -0.022606823   0.80520548      20.4858    8597.2352 
   27000    1.1925665    13.653577    14.846143   -4.8993024   -4.5327986    18.534299   0.01857998  0.076942944   0.79514374    20.482106     8592.585 
   28000    1.2133916    13.668958    14.882349   -4.8905048   -4.5223783    18.539551  0.019911411 -0.089415018   0.80902885     20.49999     8615.112 
   29000    1.2030331    13.669812    14.872845   -4.8923245    -4.525963    18.540718  0.021418968  -0.13255098   0.80212233    20.507957    8625.1613 
   30000    1.1784946    13.666115     14.84461   -4.8910348   -4.5254499    18.537642  0.019507932   0.15050056   0.78576127    20.489003    8601.2683 
   31000    1.2104523    13.660953    14.871406   -4.9027542   -4.5359234    18.541038  0.022669378  0.065430744   0.80706906    20.468434    8575.3892 
   32000    1.2154949    13.680834    14.896329   -4.8829103   -4.5172676    18.542768  0.020975981   0.24162185   0.81043123    20.481073    8591.2849 
   33000    1.1884572    13.684656    14.873113   -4.8846787   -4.5187925    18.549043  0.020291593  -0.14866611   0.79240385    20.501197    8616.6344 
   34000    1.1921363    13.661325    14.853461   -4.8952968   -4.5238237    18.538192  0.018429605 -0.012415399   0.79485686    20.498677    8613.4574 
   35000    1.1988712    13.663866    14.862737   -4.9005166   -4.5329687    18.544957  0.019425862  0.039966832   0.79934736    20.491864    8604.8715 
   36000    1.2116705    13.656836    14.868507   -4.8976182   -4.5299867    18.533476  0.020978184   0.08969206   0.80788132    20.492341    8605.4725 
   37000    1.1962844    13.668769    14.865054    -4.888043   -4.5178468    18.536403   0.02040952 -0.036909894   0.79762265     20.50224      8617.95 
   38000    1.2033872    13.682453     14.88584   -4.8917863   -4.5198492    18.553447  0.020792325 -0.058175768   0.80235844    20.505175    8621.6506 
   39000    1.1999319    13.669422    14.869354   -4.8926321     -4.52634    18.539552  0.022502183  -0.10344176    0.8000546    20.498347    8613.0408 
   40000    1.2074259    13.649426    14.856852    -4.906828   -4.5364623     18.53612  0.020133912  0.043929171   0.80505124    20.479083    8588.7806 
   41000    1.1989471    13.683366    14.882313   -4.8801513   -4.5075005    18.541359  0.022158278 -0.069660325     0.799398    20.497486    8611.9554 
   42000     1.202923    13.654984    14.857907    -4.908418   -4.5379521    18.540161  0.023241543  0.057902335   0.80204894    20.480557    8590.6351 
   43000    1.2012221    13.643327    14.844549    -4.909036   -4.5383601    18.532411  0.019952514 -0.096433389   0.80091487    20.488659    8600.8343 
   44000    1.1984755    13.664566    14.863041   -4.8920344   -4.5257473     18.53539  0.021210067  -0.05612621   0.79908353    20.509789    8627.4723 
   45000    1.1775545    13.675362    14.852917    -4.883783   -4.5102068    18.537738  0.021407542 -0.041997515   0.78513447    20.503648    8619.7246 
   46000    1.2033284    13.668385    14.871713   -4.8981985   -4.5275378    18.546578  0.020005325   0.27310142   0.80231924    20.470767    8578.3224 
   47000    1.2010572    13.671133     14.87219   -4.8963865    -4.526796    18.545457  0.022062412  0.035252297   0.80080492    20.486757    8598.4397 
   48000    1.1774899    13.670148    14.847638   -4.8831383   -4.5153853    18.531552   0.02173466  0.014786998   0.78509139    20.505314     8621.826 
   49000    1.2148108    13.649458    14.864269   -4.9084079   -4.5418201    18.537021  0.020845202  0.035292763   0.80997511    20.479885    8589.7893 
   50000    1.2153006    13.683413    14.898713   -4.8906213   -4.5209983    18.551978  0.022056629   0.03518987   0.81030167    20.492864    8606.1317 
   51000    1.2014108     13.65788    14.859291   -4.9097122   -4.5427644    18.547387  0.020204704  0.035194614   0.80104064    20.482985    8593.6916 
   52000    1.1747497     13.65925       14.834   -4.9083711   -4.5408227    18.546249  0.021372306  -0.15199477   0.78326435    20.485616    8597.0025 
   53000    1.1933462    13.676053    14.869399   -4.8892299   -4.5184661    18.544447  0.020835477   0.10812389   0.79566358     20.50456    8620.8758 
   54000    1.2057995    13.667881     14.87368    -4.901799   -4.5304626    18.549296  0.020383237  -0.11049436   0.80396685    20.490273    8602.8676 
   55000    1.1819141    13.662859    14.844773   -4.8995382   -4.5386484    18.542808  0.019589729 -0.0088379833   0.78804122    20.482145    8592.6342 
   56000     1.209245    13.659197    14.868442    -4.913325   -4.5460943    18.550317  0.022204981 -0.011983405   0.80626413    20.475153    8583.8374 
   57000    1.2140987    13.646058    14.860157     -4.91952   -4.5551015    18.544843  0.020734736  0.014575325   0.80950035    20.488623    8600.7894 
   58000    1.1970836     13.65059    14.847674   -4.9006123   -4.5352028    18.533754  0.017448634   0.09299233   0.79815547    20.476654    8585.7249 
   59000    1.1820539    13.639333    14.821387    -4.917367   -4.5501321    18.537208  0.019491966  -0.16104789   0.78813447     20.46766    8574.4171 
   60000    1.1889274    13.667942    14.856869   -4.9012213   -4.5332894    18.548664  0.020499348  -0.03920928   0.79271736    20.495902    8609.9595 
   61000     1.205676    13.664799    14.870475   -4.9053606   -4.5319681    18.550041  0.020119246 -0.0027727923   0.80388445    20.477347    8586.5962 
   62000    1.1655925    13.678014    14.843606   -4.8918961   -4.5247458    18.547817  0.022093224   0.18963939   0.77715882    20.480069    8590.0209 
   63000    1.1919528    13.667473    14.859426   -4.9014354    -4.530483    18.547859  0.021049361 -0.052823135   0.79473457    20.490943     8603.712 
   64000     1.204334    13.658277    14.862611   -4.8882299   -4.5142862    18.526392  0.020114981  -0.24371492   0.80298968    20.508328    8625.6289 
   65000    1.2036693    13.643316    14.846985   -4.9097369   -4.5367444    18.532952  0.020100591 -0.0012344968    0.8025465    20.485062     8596.306 
   66000    1.1940099    13.681502    14.875512   -4.8836447   -4.5202743     18.54327  0.021876168 -0.060686295   0.79610609    20.491345    8604.2173 
   67000    1.2042232     13.67332    14.877543   -4.8866067   -4.5172221     18.53982  0.020106562  0.028006508   0.80291585    20.506723    8623.6033 
   68000    1.1834234    13.669119    14.852543    -4.890743   -4.5232042    18.540963  0.018899245 -0.030190282   0.78904757    20.510065    8627.8207 
   69000     1.208861    13.655406    14.864267   -4.9058219   -4.5380528    18.541188  0.020039863  0.067949451   0.80600809    20.491116     8603.929 
   70000    1.2183575      13.6809    14.899257   -4.8870678   -4.5188331     18.54615  0.021817321   0.14004067   0.81233985    20.494636    8608.3636 
   71000    1.2039183    13.669664    14.873582   -4.8854906   -4.5194016    18.534664  0.020490251 -0.013571318   0.80271253    20.501605     8617.149 
   72000    1.1723765    13.676357    14.848733   -4.8937061   -4.5249062     18.54685  0.023213243  -0.16594858   0.78168205    20.501097    8616.5075 
   73000    1.1978623    13.637043    14.834905   -4.9123945   -4.5418961    18.531429  0.018008371  -0.02306129    0.7986747    20.484221    8595.2469 
   74000    1.2055956    13.665355     14.87095   -4.8893262   -4.5245348    18.531434  0.023247082 -0.056403681   0.80383087    20.508088    8625.3258 
   75000    1.1925705    13.689288    14.881858   -4.8789598   -4.5132811     18.54651  0.021737245 -0.010122933   0.79514637    20.504267    8620.5059 
   76000    1.2204836     13.68139    14.901873   -4.8953044    -4.525776    18.556689  0.020005053   0.13450058   0.81375748    20.475684    8584.5048 
   77000    1.2187126     13.64268    14.861392   -4.9133195    -4.543539    18.534481  0.021517991   0.23675804   0.81257666    20.468529    8575.5086 
   78000    1.1947557    13.647856    14.842611    -4.908621   -4.5411103    18.534543   0.02193338  -0.23107699   0.79660338    20.497605    8612.1057 
   79000    1.1988605    13.662329     14.86119   -4.9043458   -4.5365357    18.544465  0.022210115  -0.10073432   0.79934025    20.495874    8609.9243 
   80000    1.2002222    13.662823    14.863045   -4.8982581   -4.5351618    18.540677  0.020403683   0.02749394   0.80024816     20.49243    8605.5847 
   81000    1.2096491    13.693552    14.903201   -4.8713861   -4.4988892    18.541487  0.023451666    0.0325568   0.80653354    20.506152    8622.8829 
   82000    1.2109432    13.679633    14.890576   -4.8796256   -4.5119556    18.538349   0.02090912 -0.0088045094   0.80739638    20.502681    8618.5052 
   83000    1.2022171    13.661365    14.863582   -4.9010575   -4.5333162    18.539571  0.022851229 -0.048748294   0.80157829    20.484832    8596.0156 
   84000    1.2023771    13.648266    14.850643   -4.9018803   -4.5330351    18.528678  0.021467968 -0.083396236   0.80168493    20.485487    8596.8409 
   85000    1.2015931    13.693422    14.895015   -4.8697355   -4.5049051    18.542695   0.02046259  0.016457445   0.80116219    20.518306    8638.2252 
   86000     1.200276    13.669914     14.87019    -4.890022   -4.5213549    18.540173  0.019763047  0.051259095   0.80028401    20.490891    8603.6462 
   87000    1.1917343      13.6554    14.847135    -4.909782   -4.5433645    18.544334  0.020847939 -0.055767857   0.79458885    20.487759    8599.7015 
   88000     1.210031    13.662572    14.872603   -4.8994332   -4.5316009    18.540297  0.021708547  0.027749312   0.80678815    20.483246    8594.0193 
   89000     1.181979    13.648321      14.8303   -4.9080221   -4.5391631     18.53593  0.020412814  0.061938154   0.78808448     20.47504    8583.6955 
   90000    1.1837454    13.656204    14.839949   -4.9026843   -4.5312325    18.537265  0.021623192 -0.039139585   0.78926229    20.482591    8593.1948 
