#Step KinEng PotEng TotEng E_pair c_erodrod E_bond E_angle Press Temp Lx Volume 
       0    1.3576854     13.99144    15.349126   -4.6261056   -4.1860825    18.582436  0.035110135  0.099370672   0.90523676    20.740729    8922.2021 
    1000    1.2038204    13.762273    14.966093   -4.8049124   -4.3401713     18.53399  0.033194894  -0.13691404   0.80264727    20.579074    8715.2028 
    2000    1.0625507    13.518965    14.581516   -4.9985667   -4.5117872    18.484253    0.0332785 -0.055396097   0.70845571    20.395938    8484.5937 
    3000   0.95108257     13.34481    14.295892   -5.1517567   -4.6587891    18.467856  0.028710746  0.004139851   0.63413432    20.255859    8310.9755 
    4000   0.90591906    13.201585    14.107505   -5.2783331   -4.7651813    18.449319  0.030599506  0.088258463   0.60402154    20.163557    8197.8778 
    5000   0.86983138    13.163406    14.033238   -5.3166667   -4.8050965    18.450643  0.029430348 -0.049171093   0.57996008     20.13219    8159.6789 
    6000   0.91008126    13.162991    14.073073   -5.3102069   -4.7994372    18.446614  0.026584702 -0.043960936   0.60679669    20.141985     8171.595 
    7000   0.90608663    13.180238    14.086324   -5.2988241   -4.7880144    18.452257  0.026804871  -0.01621592   0.60413327    20.154417    8186.7351 
    8000   0.88746387    13.147267    14.034731   -5.3235805   -4.8043396    18.443803    0.0270451 0.0051185295   0.59171654    20.129076     8155.893 
    9000    0.8894121    13.143194    14.032606   -5.3339309   -4.8184859     18.44989  0.027234677  -0.12455049   0.59301553    20.122877    8148.3602 
   10000   0.90950281    13.166904    14.076407   -5.3129104   -4.7983759    18.454387  0.025427112  -0.14233884   0.60641101    20.140206    8169.4293 
   11000   0.89542744     13.16536    14.060788   -5.3148948   -4.8038999    18.452738  0.027516948  -0.04531832   0.59702626    20.138489    8167.3402 
   12000   0.89128758    13.150194    14.041482   -5.3306485   -4.8227712    18.454183  0.026659869 0.0019525743     0.594266    20.132907    8160.5509 
   13000   0.89787491    13.173729    14.071604   -5.3099877   -4.7975895    18.458676  0.025041218 -0.029629529    0.5986581    20.130835    8158.0311 
   14000   0.90110647    13.160119    14.061225   -5.3187738   -4.8047188    18.452587  0.026305984 -0.060831708   0.60081275    20.130497    8157.6198 
   15000   0.89160058    13.148392    14.039993   -5.3300386   -4.8136593    18.450222  0.028208613 -0.011539511    0.5944747    20.121529    8146.7232 
   16000   0.88492265     13.16598    14.050903   -5.3152835   -4.8034111     18.45508  0.026184246 -0.059618626   0.59002218    20.129496    8156.4038 
   17000   0.90579686    13.152538    14.058335    -5.319792   -4.8098808    18.444436  0.027894541  0.026138727   0.60394006    20.133865     8161.716 
   18000   0.89972764    13.154566    14.054294   -5.3261924   -4.8163744    18.454704  0.026054342 -0.067714388   0.59989341     20.12535    8151.3651 
   19000   0.90234144    13.139829    14.042171   -5.3369366   -4.8244512    18.448589  0.028176626  0.049141221   0.60163616    20.119305    8144.0215 
