#Step KinEng PotEng TotEng E_pair c_erodrod E_bond E_angle Press Temp Lx Volume 
       0    1.5370878    14.216631    15.753719   -4.4407565   -4.0976201    18.630048  0.027339242 -0.065727353    1.0248533    20.951219    9196.6119 
    1000    1.3561459    13.993756    15.349902   -4.6004369   -4.2474116    18.571266  0.022926651  0.041786704   0.90421026    20.791856    8988.3454 
    2000     1.225925    13.725482    14.951407   -4.8238519   -4.4624719    18.528377  0.020957351  -0.07755235   0.81738549    20.577312    8712.9646 
    3000    1.1042716    13.545614    14.649886   -4.9920725   -4.6206535    18.518558  0.019129014  -0.18258134   0.73627312    20.424132    8519.8285 
    4000    1.0423092    13.417541     14.45985   -5.0963782   -4.7183118    18.496088  0.017830817  0.012617027   0.69495965    20.315227    8384.2664 
    5000    1.0187185    13.378121    14.396839   -5.1231374   -4.7418947    18.482948  0.018310713 -0.077775233   0.67923059    20.285618    8347.6599 
    6000    1.0516993    13.399149    14.450848   -5.1099713   -4.7281918    18.491337  0.017783546 0.0075535884   0.70122051    20.301174    8366.8784 
    7000    1.0744287     13.40016    14.474589    -5.115108   -4.7358465    18.497682   0.01758581  0.080203402   0.71637531    20.300862    8366.4925 
    8000    1.0522552     13.36918    14.421435   -5.1319625   -4.7483646     18.48429  0.016852544 -0.056846029   0.70159116    20.284363    8346.1105 
    9000    1.0396623    13.369994    14.409656   -5.1356154   -4.7531209    18.487167   0.01844279 -0.075673515   0.69319488    20.287857     8350.424 
   10000    1.0451811    13.409053    14.454234   -5.1169359   -4.7339969    18.505191  0.020798121 -0.054531262   0.69687452    20.298129    8363.1145 
   11000    1.0381389    13.392599    14.430737   -5.1203872   -4.7421244    18.493803   0.01918225 -0.066212789   0.69217913    20.298318    8363.3483 
   12000    1.0433488    13.370708    14.414057   -5.1424528   -4.7608313    18.495785  0.017376437   0.01903953   0.69565284    20.279811    8340.4931 
   13000    1.0559789    13.387431     14.44341   -5.1202756   -4.7369316    18.488778  0.018927948  0.080233471   0.70407394    20.290681    8353.9116 
   14000    1.0656844    13.389273    14.454957   -5.1272789    -4.742579    18.496743   0.01980862 -0.056743737   0.71054506    20.291315    8354.6947 
   15000     1.047172    13.362935    14.410107   -5.1485914   -4.7603409     18.49106  0.020466396 0.0020575538   0.69820194    20.276717    8336.6765 
   16000    1.0448001    13.355201    14.400002   -5.1620144   -4.7772008    18.499809  0.017406378  0.026865934   0.69662049    20.259255    8315.1558 
   17000    1.0496484     13.38212    14.431768   -5.1413732   -4.7580786    18.504614  0.018878869   0.17598325   0.69985308    20.280841    8341.7635 
   18000    1.0475603    13.397136    14.444696   -5.1230938   -4.7433657    18.503403   0.01682701 -0.064215761   0.69846081    20.298639    8363.7451 
   19000    1.0474039    13.371721    14.419125   -5.1392655   -4.7561708    18.492782  0.018204588   0.11324032   0.69835655    20.278884    8339.3489 
   20000    1.0240063    13.393816    14.417822   -5.1237026   -4.7434995    18.499225  0.018293895  -0.16983528   0.68275624    20.306883    8373.9397 
   21000    1.0368731    13.418282    14.455155   -5.1001267   -4.7188444    18.498694  0.019715177 -0.099874351   0.69133517     20.31697    8386.4244 
   22000    1.0370878    13.394211    14.431299   -5.1243888   -4.7408635    18.501071  0.017529175  0.017342089   0.69147833    20.297331    8362.1275 
   23000    1.0363876    13.375679    14.412067   -5.1392721   -4.7540868     18.49797  0.016981715   0.18269184   0.69101145    20.271293    8329.9878 
   24000     1.057608    13.370666    14.428274   -5.1396529   -4.7564512    18.492627  0.017692409    0.1281793   0.70516017    20.270559    8329.0829 
   25000    1.0505992    13.389706    14.440305   -5.1207855   -4.7370713    18.493599  0.016892518  0.063298969   0.70048706    20.286924    8349.2722 
   26000    1.0630078      13.3834    14.446408   -5.1333146   -4.7509847    18.500052  0.016663263   0.09373276   0.70876046    20.272378    8331.3251 
   27000    1.0416081    13.380461    14.422069   -5.1355175   -4.7548409    18.498404  0.017574989   0.20382045    0.6944922    20.273235    8332.3822 
   28000    1.0520093    13.376766    14.428775   -5.1344984   -4.7530594    18.494778  0.016486071  0.094426713   0.70142724    20.282239    8343.4884 
   29000    1.0647289    13.390238    14.454966   -5.1185104   -4.7407802    18.491785  0.016963473  -0.02790362   0.70990798    20.306704     8373.718 
   30000    1.0506708    13.403789    14.454459   -5.1117798   -4.7337089    18.496974  0.018594887   0.13938888   0.70053474     20.30122    8366.9359 
   31000    1.0476095    13.386989    14.434599     -5.11784   -4.7414755    18.487144  0.017685418 -0.0026853172   0.69849366    20.293258    8357.0949 
   32000    1.0548079    13.390313    14.445121    -5.129454   -4.7481548    18.501522  0.018244641   0.16814652   0.70329315    20.282776     8344.151 
   33000    1.0498766    13.384915    14.434792   -5.1285179   -4.7457775    18.495937  0.017495731  0.057988981   0.70000527    20.292806    8356.5367 
   34000    1.0498904    13.375436    14.425326   -5.1366178    -4.752973    18.493796  0.018257516 -0.0028000744   0.70001441    20.280007    8340.7349 
   35000    1.0463833    13.380858    14.427241   -5.1488041   -4.7638722     18.51193  0.017732642  0.040348281   0.69767608    20.264314    8321.3876 
   36000    1.0391985    13.366868    14.406067   -5.1476217   -4.7613096      18.4964  0.018090131   0.15433386   0.69288559    20.262132    8318.6994 
   37000    1.0537204    13.372355    14.426076   -5.1403737   -4.7580863     18.49578    0.0169488 -0.013421154   0.70256812    20.276961    8336.9768 
