#Step KinEng PotEng TotEng E_pair E_bond E_angle Press Temp Lx Volume 
       0   0.48448444    16.967107    17.451592   -5.7257674    19.348227    3.3446479   -2.3724629   0.32303001           20         8000 
    1000    1.2501881    15.224529    16.474717   -4.7387119    19.554388   0.40885241  0.043753499   0.83356291    20.884694    9109.2861 
    2000     1.020741    14.834592    15.855333   -4.9443614    19.505562   0.27339112  -0.18041087    0.6805791      20.6849    8850.3469 
    3000   0.87615354    14.549652    15.425805   -5.1394166    19.453047   0.23602103  -0.18477425   0.58417538    20.441125    8541.1118 
    4000   0.78921217     14.35305    15.142262    -5.304189    19.433123   0.22411618  0.013204355   0.52620722    20.252534    8306.8838 
    5000   0.73114961    14.248696    14.979845   -5.3924218    19.422774   0.21834307  0.077752759   0.48749401    20.156009     8188.675 
    6000   0.74416341    14.216004    14.960167   -5.4237621     19.42498   0.21478562    0.1507171   0.49617096    20.127276    8153.7054 
    7000   0.76370545    14.225897    14.989602   -5.4234536    19.438947   0.21040369   0.13506699   0.50920062    20.121395    8146.5602 
    8000   0.73540316     14.19743    14.932833   -5.4429173    19.430072   0.21027483 -0.0088641581   0.49033007    20.102513    8123.6471 
    9000   0.73927078    14.165898    14.905168   -5.4663126    19.425168   0.20704216 -0.0051242653    0.4929088    20.089852    8108.3072 
   10000   0.76077425    14.173199    14.933974    -5.459575    19.429203   0.20357172 -0.057784797   0.50724624    20.082756    8099.7184 
   11000   0.75237758    14.165245    14.917622   -5.4687975     19.43284   0.20120237 -0.070171105   0.50164776    20.069712    8083.9469 
   12000   0.74164281    14.150015    14.891658   -5.4797631    19.432132   0.19764675 -0.058308595   0.49449035    20.058115    8069.9404 
   13000   0.75773776    14.140538    14.898276   -5.4829913    19.427673   0.19585615 -0.043114348   0.50522166    20.052039    8062.6096 
   14000   0.75527207    14.139218     14.89449   -5.4949699    19.435282   0.19890575  0.086428619   0.50357766     20.03834    8046.0966 
   15000   0.74400394    14.137834    14.881838   -5.4923716    19.432787   0.19741867 0.0063085157   0.49606464    20.041307    8049.6708 
   16000   0.74482295    14.138348    14.883171   -5.4897867    19.431283   0.19685173 -0.014541456   0.49661071    20.049917    8060.0499 
   17000   0.75171973    14.129694    14.881414   -5.4962943    19.430332   0.19565564  0.033112386   0.50120913    20.034551    8041.5328 
   18000   0.75856603    14.128729    14.887295   -5.4919861    19.425976   0.19473929  0.096578442   0.50577391    20.039924    8048.0043 
   19000    0.7466937    14.139115    14.885809   -5.4908554    19.435583   0.19438793 -0.037796525   0.49785803    20.043644    8052.4871 
   20000   0.74213914    14.129187    14.871326   -5.4987069    19.433063   0.19483042  -0.10471395   0.49482128    20.032798    8039.4218 
   21000   0.74855955     14.12145    14.870009   -5.5060197    19.433914   0.19355498  0.070069288   0.49910209    20.030838    8037.0623 
   22000   0.74721582      14.1342    14.881416   -5.4945031    19.436469   0.19223396 -0.0097815493   0.49820616    20.038394     8046.161 
   23000   0.73459913    14.143079    14.877678   -5.4838696    19.433543   0.19340544 -0.052809512   0.48979398     20.03944    8047.4213 
   24000   0.74645499    14.118292    14.864747   -5.5001297    19.427665   0.19075676 -0.011533645   0.49769887    20.028521    8034.2744 
   25000   0.74588521    14.125688    14.871574   -5.4987374    19.432963   0.19146315 -0.0020219258   0.49731897    20.030549    8036.7153 
   26000   0.74161762    14.129677    14.871295   -5.4935754    19.433797   0.18945525   -0.1291452   0.49447356    20.041883    8050.3647 
   27000   0.74750955    14.113401    14.860911   -5.5120392     19.43528    0.1901605  0.056343666     0.498402    20.019912    8023.9182 
   28000   0.76219736    14.108073     14.87027   -5.5092321    19.428227   0.18907774  0.058084272    0.5081951    20.010901    8013.0888 
   29000   0.74929376    14.120339    14.869633   -5.5024549    19.434828    0.1879659 -0.039278992   0.49959163    20.026642    8032.0136 
   30000   0.74172891    14.116669    14.858398   -5.5017206    19.430182   0.18820782  0.074973018   0.49454776     20.02637    8031.6853 
   31000   0.75658098    14.102912    14.859493   -5.5092678    19.426578   0.18560162  -0.18338508   0.50445038    20.026339    8031.6486 
   32000   0.75376333     14.11458    14.868343    -5.508027    19.434398    0.1882088 -0.097503665   0.50257171    20.026622    8031.9884 
   33000   0.74974224     14.10877    14.858512    -5.508195    19.432273    0.1846915  0.063640574   0.49989065     20.00946    8011.3576 
   34000   0.76127768     14.09546    14.856738   -5.5166022    19.426471    0.1855917 -0.017383339    0.5075819    20.002579    8003.0946 
   35000   0.75093348    14.103416    14.854349   -5.5140002    19.431351   0.18606528  0.089847724   0.50068491    20.012824    8015.3982 
   36000   0.75135098      14.1007    14.852051   -5.5145009    19.430286   0.18491436 -0.0052258524   0.50096328    20.006108    8007.3317 
   37000   0.75393475    14.091912    14.845847   -5.5238417    19.429743   0.18601113 -0.042147912     0.502686    20.006114    8007.3389 
   38000   0.75819008    14.102504    14.860695   -5.5186631    19.436726   0.18444157   0.17901807   0.50552324    19.997962    7997.5546 
   39000   0.75738113    14.111059     14.86844   -5.5059752    19.433347   0.18368739  0.087436909   0.50498388    20.011247    8013.5038 
   40000   0.75548054    14.093746    14.849226   -5.5143144    19.422705   0.18535522 -0.0095552563   0.50371666    20.007225     8008.673 
   41000   0.74670371    14.096378    14.843081    -5.513366    19.426869   0.18287493  0.035739817    0.4978647    19.996417    7995.7011 
   42000   0.75072234    14.101689    14.852411   -5.5070637    19.424105   0.18464691 0.0048736631   0.50054413    20.005733    8006.8813 
   43000   0.75356362    14.092705    14.846269   -5.5199723    19.433009   0.17966864   0.16791813   0.50243855    19.990222    7988.2725 
   44000   0.74776674    14.085021    14.832787   -5.5265217    19.428316   0.18322658 -0.065459315   0.49857348    19.993091    7991.7119 
   45000   0.75026071    14.095664    14.845925   -5.5136563    19.428804   0.18051647  0.011013457   0.50023634    19.999675    7999.6096 
   46000   0.76262247    14.090286    14.852908   -5.5223866    19.432293   0.18037876  0.053258491   0.50847854    20.006482    8007.7804 
   47000   0.74629994     14.08512     14.83142   -5.5252964    19.429342   0.18107494  -0.14477069   0.49759549    20.000031    8000.0369 
   48000   0.74945898    14.087062     14.83652   -5.5192105    19.426477   0.17979475 -0.094848481   0.49970178    19.989129     7986.962 
   49000   0.75607023    14.086869    14.842939   -5.5207411     19.42905   0.17856004 -0.091048732   0.50410984    19.994716    7993.6607 
   50000   0.74641202    14.084721    14.831133   -5.5259744     19.42858   0.18211476  0.028410007   0.49767022    19.980001    7976.0246 
   51000   0.74399179       14.078    14.821992   -5.5385793    19.434309   0.18227036   0.14981172   0.49605654    19.973966    7968.8001 
   52000   0.75639836    14.078231    14.834629   -5.5279946    19.429034   0.17719182 -0.019782214   0.50432861    19.988105    7985.7348 
   53000   0.74875101    14.090741    14.839492   -5.5170417    19.430266   0.17751709 -0.096631998   0.49922974    19.993121    7991.7482 
   54000    0.7521478    14.064446    14.816594   -5.5459186    19.431258   0.17910684 -0.014968463   0.50149455    19.976235    7971.5165 
   55000   0.75227821    14.074931    14.827209   -5.5302024    19.424983   0.18015006   0.11829099    0.5015815    19.977814    7973.4062 
   56000   0.75774516    14.086751    14.844496   -5.5239027    19.433076   0.17757735 -0.032019766   0.50522659    19.986003     7983.215 
   57000   0.74988355    14.072441    14.822325   -5.5306016    19.423965   0.17907753  0.045851766   0.49998486    19.987899    7985.4871 
   58000   0.74654563    14.080829    14.827375   -5.5196697    19.425446    0.1750529  -0.17388264    0.4977593    19.998458      7998.15 
   59000    0.7566756      14.0863    14.842976   -5.5130177    19.423614   0.17570347  -0.16202544   0.50451347    19.995979    7995.1759 
   60000   0.75082584    14.079759    14.830585     -5.53042    19.430751   0.17942826   0.05686478   0.50061314    19.979239    7975.1127 
   61000   0.74288329    14.075415    14.818298   -5.5338657    19.432083   0.17719766 -0.046543812   0.49531744    19.975487    7970.6209 
   62000   0.74974306    14.087567     14.83731   -5.5201053    19.433461   0.17421074 -0.077950095   0.49989119    19.990335    7988.4072 
   63000   0.75507711    14.079875    14.834952    -5.526528     19.43273   0.17367259   0.03006735   0.50344767    19.976286     7971.577 
   64000   0.74375979    14.070381    14.814141   -5.5370785    19.431504   0.17595559  0.060409166   0.49590185    19.968769    7962.5817 
   65000   0.75233999    14.070691    14.823031   -5.5360781    19.431663   0.17510581  -0.11166747    0.5016227    19.978016    7973.6485 
   66000    0.7484105    14.089271    14.837682   -5.5167539    19.431416   0.17460863 -0.077652355   0.49900271    19.992368    7990.8447 
   67000   0.74339794    14.081757    14.825155   -5.5272139    19.435216   0.17375501 -0.079764589   0.49566058    19.988286     7985.952 
   68000   0.75182407    14.062065    14.813889    -5.537598    19.427074   0.17258904   0.13666039   0.50127871    19.972831    7967.4415 
   69000   0.75295852    14.076153    14.829111   -5.5246359    19.426178   0.17461072 -0.063951007    0.5020351    19.987159    7984.6011 
   70000   0.73300514    14.095302    14.828307   -5.5157779    19.436011   0.17506854 -0.092124106   0.48873119     19.98507    7982.0971 
   71000   0.74118537     14.06964    14.810825   -5.5417151     19.43684   0.17451541  0.034877644   0.49418535    19.971303    7965.6136 
   72000   0.74473409    14.070311    14.815045   -5.5350509    19.429115   0.17624633 -0.010727361   0.49655146    19.967841     7961.471 
   73000   0.76020907    14.072535    14.832744    -5.527625    19.425812   0.17434857 -0.084901234   0.50686941    19.974098    7968.9584 
   74000   0.74004132    14.074892    14.814933   -5.5315171    19.432623   0.17378604  0.035171665   0.49342256    19.973723     7968.509 
   75000   0.74372801    14.058986    14.802714   -5.5395535    19.424617   0.17392306  -0.10781199   0.49588066    19.964625    7957.6251 
   76000   0.75943894    14.065232    14.824671   -5.5366841    19.426748   0.17516845 -0.0031048275   0.50635592    19.957694    7949.3404 
   77000   0.74798814    14.068406    14.816394    -5.540425    19.435679   0.17315269 -0.0013305932    0.4987211    19.967563    7961.1383 
   78000   0.74070469     14.04967    14.790374   -5.5512858    19.427003   0.17395238   0.12594326   0.49386486    19.947957    7937.7107 
   79000   0.74973833    14.061695    14.811433   -5.5378823    19.427247   0.17232998  -0.18900728   0.49988804    19.971373    7965.6968 
   80000   0.74721867    14.079888    14.827106   -5.5280656    19.435793   0.17216058  0.041760819   0.49820806    19.970341    7964.4615 
   81000   0.74541101    14.068876    14.814287    -5.534985    19.431677   0.17218345  0.065042848    0.4970028    19.965167    7958.2732 
   82000   0.75620441    14.050165    14.806369   -5.5512335    19.431249   0.17014905  0.059998539    0.5041993    19.958451    7950.2444 
   83000   0.75991303    14.064512    14.824425   -5.5413677    19.433543   0.17233667 -0.050787096   0.50667202    19.959205     7951.146 
   84000   0.76712603    14.048778    14.815904    -5.548114    19.425174   0.17171838  0.028886699   0.51148129    19.958477    7950.2763 
   85000   0.75829009    14.051496    14.809786   -5.5426592    19.424042   0.17011345  0.080035427   0.50558992    19.962091    7954.5958 
   86000   0.76484655    14.068172    14.833019   -5.5330174    19.431711   0.16947858 -0.059820003   0.50996145    19.970684    7964.8725 
   87000    0.7520901    14.062436    14.814526   -5.5415913    19.433632    0.1703959    0.1804345   0.50145608     19.95354    7944.3769 
   88000   0.75914284     14.04837    14.807513    -5.549721    19.429036   0.16905534   0.14224738    0.5061585    19.951196    7941.5776 
   89000   0.75219639    14.047951    14.800147   -5.5468104    19.425967   0.16879371  -0.11289462   0.50152695    19.961509    7953.8993 
   90000    0.7459464    14.076228    14.822174   -5.5239761    19.433815    0.1663888 -0.055904041   0.49735977    19.978912    7974.7207 
   91000   0.74603142     14.06241    14.808441   -5.5367154     19.42903   0.17009474 -0.073650099   0.49741646    19.966739    7960.1536 
   92000   0.74128665    14.060342    14.801628    -5.541463    19.432845   0.16896014  0.020322166   0.49425288    19.953724    7944.5977 
   93000   0.75086957    14.055256    14.806125   -5.5377909    19.425179   0.16786803   0.01753739   0.50064229    19.953684     7944.549 
   94000   0.74603201    14.057229    14.803261   -5.5432983    19.432391   0.16813601  0.073098776   0.49741685    19.948389    7938.2262 
