#Step KinEng PotEng TotEng E_pair E_bond E_angle Press Temp Lx Volume 
       0   0.48448444    15.294783    15.779268   -5.7257674    19.348227     1.672324   -2.3724629   0.32303001           20         8000 
    1000   0.91306891    14.609229    15.522298   -5.1622971    19.463886   0.30764025  -0.17890281   0.60878871    20.389716    8476.8314 
    2000   0.84190483    14.433935    15.275839   -5.2580303    19.446664   0.24530086 -0.086677022   0.56134005    20.254093    8308.8021 
    3000   0.79357783    14.290783    15.084361   -5.3665923    19.434458   0.22291788    0.0117961   0.52911802    20.136965    8165.4863 
    4000   0.74804367    14.207857    14.955901   -5.4369524    19.428177   0.21663236  0.081630377   0.49875813    20.077224    8093.0274 
    5000   0.74530829    14.165357    14.910665   -5.4718721    19.424611   0.21261816  0.019051758   0.49693431     20.03247    8039.0271 
    6000   0.75715879    14.176209    14.933368   -5.4678611    19.436219   0.20785091 -0.056468001   0.50483563    20.033091    8039.7754 
    7000   0.75370443    14.169357    14.923062   -5.4709832    19.435402   0.20493899  0.030384779   0.50253243     20.00831    8009.9762 
    8000   0.73789128    14.150773    14.888665   -5.4835571    19.430941   0.20338966  0.041476106   0.49198902    20.003365    8004.0387 
    9000   0.75134052     14.13937    14.890711   -5.4931794    19.429776   0.20277403 -0.011316153    0.5009563    19.997722    7997.2666 
   10000   0.75277415    14.140594    14.893368   -5.4845342    19.428098   0.19703038   0.03465448   0.50191217    19.990376    7988.4571 
   11000   0.74576359     14.12774    14.873504   -5.5008868    19.431318   0.19730945  0.071679895   0.49723788    19.977969    7973.5921 
   12000   0.75170225    14.124013    14.875715   -5.4991965    19.426886     0.196323  0.059186691   0.50119748    19.983068    7979.6993 
   13000   0.75853683    14.132488    14.891024   -5.4962584    19.432763   0.19598304  0.034097164   0.50575444    19.981751    7978.1208 
   14000     0.748535     14.11898    14.867515   -5.5008633    19.428518   0.19132575 -0.034106404   0.49908572    19.979927    7975.9361 
   15000   0.73898649    14.109571    14.848558    -5.517093    19.436259   0.19040543  0.014523084   0.49271925    19.963809    7956.6491 
   16000   0.74137397    14.122963    14.864337   -5.5078682    19.436782   0.19404932   0.04755983    0.4943111    19.960991    7953.2806 
   17000   0.76174893     14.11849    14.880239   -5.5135604     19.44032   0.19173028  -0.10051259   0.50789611    19.959927    7952.0091 
   18000   0.75074406    14.098522    14.849267   -5.5224334    19.431536   0.18941944  0.041569105   0.50055861    19.949824    7939.9397 
   19000   0.75060076    14.096385    14.846986   -5.5204341    19.427922   0.18889756 -0.00034832073   0.50046307     19.95405     7944.987 
   20000   0.75985655    14.107195    14.867051    -5.515155    19.437142   0.18520817 -0.021444103   0.50663436    19.971734    7966.1284 
   21000   0.75268103    14.099096    14.851777     -5.52041    19.431362   0.18814409  0.014043993   0.50185008    19.961634     7954.049 
   22000   0.75134002    14.083117    14.834457   -5.5345446    19.429806   0.18785542  0.045420032   0.50095597    19.952756     7943.441 
   23000     0.747345    14.101829    14.849174   -5.5188355    19.431131   0.18953361 -0.073852214   0.49829228    19.949399    7939.4328 
   24000   0.75688057    14.102972    14.859853   -5.5199452    19.434637   0.18827988  0.099869824   0.50465013    19.948643    7938.5297 
   25000   0.75468917    14.093211      14.8479   -5.5242956    19.431323   0.18618367  0.093015797   0.50318901    19.946187    7935.5978 
   26000   0.73731181    14.091345    14.828656   -5.5245512    19.430144   0.18575166 -0.063662314   0.49160266    19.949179    7939.1696 
   27000   0.75147597    14.094568    14.846044   -5.5183713    19.429689   0.18325018 0.00022257474   0.50104661    19.949658    7939.7412 
   28000     0.750304    14.105286     14.85559   -5.5123308    19.431067     0.186549   0.08423578    0.5002652    19.949156    7939.1424 
   29000   0.74797456    14.087009    14.834983   -5.5246783    19.427225   0.18446199   -0.1161776   0.49871205    19.939727    7927.8901 
   30000   0.75023671    14.087448    14.837684   -5.5307753     19.43544   0.18278286  0.019433776   0.50022033    19.949236    7939.2382 
   31000   0.75911828    14.093056    14.852174   -5.5199412    19.430463   0.18253368  -0.20634785   0.50614212    19.964931     7957.991 
   32000   0.75003933    14.085696    14.835735   -5.5267584    19.431774    0.1806801 -0.018975557   0.50008873    19.946587    7936.0756 
   33000    0.7608257     14.06816    14.828986   -5.5409087    19.428631   0.18043854 -0.021142908   0.50728055    19.918638    7902.7624 
   34000   0.75453931     14.06344    14.817979   -5.5459205    19.431854   0.17750621   0.16116369   0.50308909    19.917566    7901.4862 
   35000    0.7607154    14.080954    14.841669    -5.536861    19.439276   0.17853872   0.14732556     0.507207    19.927278    7913.0508 
   36000    0.7478563    14.073826    14.821683   -5.5398484    19.432512   0.18116305 -0.078071433    0.4986332    19.922782    7907.6957 
   37000   0.74381035    14.075605    14.819415   -5.5381995    19.435328    0.1784769 -0.021830324   0.49593556    19.917058    7900.8817 
   38000    0.7554877    14.073937    14.829424    -5.533847    19.429959   0.17782466  -0.25597188   0.50372143    19.933524    7920.4939 
   39000   0.75107102    14.092504    14.843575   -5.5210406      19.4348   0.17874491  0.031923405   0.50077661    19.933189    7920.0944 
   40000   0.76212282    14.061241    14.823364   -5.5390507    19.424204   0.17608795 -0.024853301    0.5081454    19.928374    7914.3567 
   41000   0.74972193    14.074178      14.8239   -5.5344607    19.432042   0.17659645  0.043755743   0.49987711    19.922518    7907.3815 
   42000   0.75571633    14.066743    14.822459   -5.5338399    19.424396   0.17618594  0.011880353   0.50387387    19.928493    7914.4978 
   43000   0.74676471    14.062168    14.808933   -5.5429318    19.429767   0.17533323  -0.10774282   0.49790538    19.921652    7906.3502 
   44000   0.76124519    14.071904    14.833149   -5.5340846    19.432553   0.17343559 -0.024738604   0.50756024    19.923345     7908.366 
   45000   0.75070174    14.070585    14.821287   -5.5319442    19.426586   0.17594318 -0.085205741   0.50053039    19.930846    7917.3018 
   46000   0.74287301    14.069043    14.811916   -5.5387857     19.43409    0.1737388   0.16107028   0.49531059    19.916265    7899.9387 
   47000   0.75119089    14.057348    14.808539   -5.5475129    19.430882   0.17397957 0.00083477455   0.50085653    19.910254    7892.7869 
   48000   0.75361271    14.053686    14.807299   -5.5534505    19.432594    0.1745424 -0.011720606   0.50247128    19.906829    7888.7151 
   49000   0.75185874    14.048796    14.800655   -5.5599764    19.433321   0.17545125  0.028640154   0.50130182    19.896312    7876.2185 
   50000   0.75600139    14.059196    14.815197   -5.5498449    19.434439   0.17460129  0.090070419   0.50406394       19.907    7888.9183 
   51000   0.74906399    14.069672    14.818736   -5.5313195     19.42903    0.1719619   -0.0135556   0.49943843    19.930045    7916.3472 
   52000   0.74555228    14.052529    14.798082   -5.5526436    19.432802   0.17237131  0.016485439   0.49709699    19.911957    7894.8134 
   53000   0.75441823    14.062837    14.817255   -5.5423926    19.432143   0.17308675 -0.045833581   0.50300836    19.913349     7896.469 
   54000   0.75450936    14.047143    14.801653   -5.5588863    19.433208   0.17282117 -0.048281424   0.50306913    19.912051    7894.9249 
   55000   0.74354119      14.0553    14.798841   -5.5566637    19.437537   0.17442636 -0.0064309962    0.4957561    19.907057    7888.9857 
   56000   0.75048143    14.067923    14.818405   -5.5379084    19.433278   0.17255402  0.060976184    0.5003835    19.912371    7895.3056 
   57000   0.74730457    14.054141    14.801446   -5.5484014    19.431838   0.17070484   0.14694737   0.49826533    19.912323    7895.2477 
   58000   0.74164525    14.056039    14.797684   -5.5432232    19.429929   0.16933335 -0.091314364   0.49449198    19.923168    7908.1549 
   59000   0.75397965    14.059792    14.813772   -5.5416065    19.431038   0.17035996  -0.07672724   0.50271594    19.924183     7909.364 
   60000   0.74779889    14.054058    14.801856   -5.5470647    19.431237   0.16988527 -0.042628111   0.49859492    19.912619    7895.5998 
   61000   0.74871279    14.046147    14.794859   -5.5562317    19.431899   0.17047947  0.084746731   0.49920426    19.905143    7886.7104 
   62000   0.74683441    14.060962    14.807796   -5.5436335    19.432691   0.17190406  0.044716148   0.49795185    19.906611    7888.4561 
   63000    0.7559774    14.063751    14.819728   -5.5408148    19.432692   0.17187338 -0.010417811   0.50404794    19.919672    7903.9933 
   64000   0.74412738    14.063635    14.807762   -5.5380739    19.434202   0.16750697  -0.25063154   0.49614694    19.931962    7918.6314 
   65000   0.74357714    14.046483    14.790061   -5.5483456    19.427036   0.16779282 -0.096976085   0.49578007    19.919362    7903.6237 
   66000   0.76229156    14.049475    14.811767   -5.5507867    19.430686   0.16957511  -0.13486691   0.50825791    19.913066    7896.1323 
   67000   0.76317629    14.044844    14.808021   -5.5540937    19.431628   0.16731034  0.054984369    0.5088478    19.901418    7882.2834 
   68000   0.74878666    14.040499    14.789286   -5.5565622    19.432028   0.16503414   0.14836158   0.49925351    19.902219    7883.2354 
   69000   0.74615251    14.051858     14.79801   -5.5492358    19.435307   0.16578626 -0.035133282   0.49749719    19.917129    7900.9667 
   70000   0.76061193     14.04944    14.810052   -5.5488685    19.431529   0.16677908  -0.19788985   0.50713801    19.913787    7896.9895 
   71000   0.74410594    14.049433    14.793539   -5.5450773    19.427535    0.1669752   0.10823721   0.49613264    19.906695     7888.555 
