#Step KinEng PotEng TotEng E_pair E_bond E_angle Press Temp Lx Volume 
       0   0.48448444    12.832801    13.317286   -5.6481987    18.329377   0.15162301   -1.5880033   0.32303001           20         8000 
    1000   0.64123441    12.763606    13.404841   -5.7271095    18.371727    0.1189884 -0.060370489   0.42754305    19.840923    7810.6214 
    2000   0.70744382    12.828834    13.536278   -5.6768958    18.393963   0.11176721  0.025995853   0.47168817    19.871531    7846.8252 
    3000   0.75564927    12.881266    13.636915   -5.6308162    18.406335   0.10574695  0.025995379   0.50382916    19.899236    7879.6919 
    4000   0.75779164    12.909078     13.66687   -5.6099096    18.417309   0.10167873 -0.049585321   0.50525758    19.923146    7908.1293 
    5000    0.7455795    12.882584    13.628164   -5.6191133    18.402434   0.09926358 -0.054571091   0.49711514    19.914281     7897.578 
    6000   0.74932596    12.872461    13.621787   -5.6264458    18.401074  0.097833319   -0.0211946   0.49961309     19.90834    7890.5109 
    7000   0.75928654    12.886686    13.645972   -5.6129685    18.408278   0.09137664  0.025200213   0.50625431    19.917639     7901.573 
    8000   0.75341263    12.869712    13.623124   -5.6261219    18.403753  0.092080309 -0.086481573   0.50233788    19.910694    7893.3111 
    9000   0.75006352    12.864814    13.614878   -5.6350614    18.409074  0.090801668 0.0030346647   0.50010486    19.898046    7878.2778 
   10000   0.75637022    12.881662    13.638032   -5.6128367    18.405265   0.08923384  0.065587742   0.50430985    19.906884    7888.7806 
   11000   0.75611235    12.886321    13.642433   -5.6148366    18.415289  0.085868571   0.17741813   0.50413791     19.91226    7895.1732 
   12000   0.74645465    12.880278    13.626733   -5.6190104    18.410672  0.088616939   0.15813726   0.49769865    19.904051    7885.4127 
   13000   0.74573859    12.883074    13.628812   -5.6018397    18.399227  0.085686672 -0.080366635   0.49722121    19.926004    7911.5324 
   14000   0.75537673    12.890613    13.645989   -5.6054594    18.410287  0.085784602  -0.14895773   0.50364744    19.923634    7908.7098 
   15000   0.75006992    12.877294    13.627364   -5.6131043    18.407012  0.083386551  0.014383751   0.50010913    19.913842    7897.0555 
   16000   0.75032044    12.879441    13.629761   -5.6082026     18.40527  0.082373232   0.15344863   0.50027616    19.910112    7892.6187 
   17000   0.76356345    12.887128    13.650691   -5.5984335      18.4034   0.08216122   0.12668879   0.50910594    19.924381    7909.6001 
   18000   0.75468963    12.881845    13.636535   -5.6008215    18.401077  0.081590313  0.005505333   0.50318932    19.923586    7908.6532 
   19000   0.74254791    12.877582     13.62013   -5.6120876    18.408692  0.080977904 -0.032674195   0.49509382    19.920736    7905.2601 
   20000   0.74582684    12.879765    13.625592   -5.6080225    18.409506  0.078281857 -0.058320512   0.49728005    19.928237    7914.1927 
   21000   0.75522923    12.890623    13.645852   -5.5978842    18.409706  0.078801106   0.14023736    0.5035491    19.925024    7910.3657 
   22000   0.75538282    12.870637     13.62602    -5.608405    18.400865   0.07817667   0.12931876    0.5036515    19.914616    7897.9758 
   23000   0.75259235    12.869811    13.622403   -5.6177209    18.408942  0.078589197   0.15154324   0.50179096    19.904745    7886.2379 
   24000   0.75518853    12.875337    13.630526   -5.6045347    18.402261  0.077610883 -0.019345941   0.50352196    19.916365    7900.0569 
   25000   0.75164243    12.896119    13.647762   -5.5861912    18.406706  0.075604379 -0.021167912    0.5011576    19.932203    7918.9195 
   26000   0.74483427    12.886456     13.63129   -5.5908201    18.401151  0.076124685 -0.020430387   0.49661826    19.932428    7919.1867 
   27000   0.74515285    12.886223    13.631376   -5.5942526    18.405404    0.0750723 -0.034737001   0.49683067    19.925585    7911.0336 
   28000   0.75352715    12.892918    13.646445   -5.5855799    18.406768  0.071729597 -0.010417918   0.50241423    19.940211    7928.4675 
   29000   0.75230362    12.885847     13.63815   -5.5903845    18.403174   0.07305695  -0.11871835   0.50159845     19.93414    7921.2279 
   30000   0.74501875    12.880359    13.625377   -5.6005504    18.407826  0.073082686 0.0066582627   0.49674126    19.921524    7906.1979 
   31000   0.75252504    12.896707    13.649232   -5.5868876    18.412315  0.071279132   0.16777976   0.50174608    19.918113    7902.1379 
   32000   0.75546365    12.883873    13.639337   -5.5926489    18.406093  0.070429538   0.11900337    0.5037054    19.918892    7903.0643 
